"period","respondent","respondent.name","type.name","value","value.units","date","hour","year","month","dayofweek","BGE_Rebate"
"2020-01-05T08","PJM","PJM Interconnection, LLC","Demand",78422,"megawatthours",2020-01-05,8,2020,1,"Sunday",0
"2020-01-05T07","PJM","PJM Interconnection, LLC","Demand",78672,"megawatthours",2020-01-05,7,2020,1,"Sunday",0
"2020-01-05T06","PJM","PJM Interconnection, LLC","Demand",79317,"megawatthours",2020-01-05,6,2020,1,"Sunday",0
"2020-01-05T05","PJM","PJM Interconnection, LLC","Demand",82137,"megawatthours",2020-01-05,5,2020,1,"Sunday",0
"2020-01-05T04","PJM","PJM Interconnection, LLC","Demand",85068,"megawatthours",2020-01-05,4,2020,1,"Sunday",0
"2020-01-05T03","PJM","PJM Interconnection, LLC","Demand",87495,"megawatthours",2020-01-05,3,2020,1,"Sunday",0
"2020-01-05T02","PJM","PJM Interconnection, LLC","Demand",89190,"megawatthours",2020-01-05,2,2020,1,"Sunday",0
"2020-01-05T01","PJM","PJM Interconnection, LLC","Demand",90082,"megawatthours",2020-01-05,1,2020,1,"Sunday",0
"2020-01-05T00","PJM","PJM Interconnection, LLC","Demand",91019,"megawatthours",2020-01-05,0,2020,1,"Sunday",0
"2020-01-06T23","PJM","PJM Interconnection, LLC","Demand",97866,"megawatthours",2020-01-06,23,2020,1,"Monday",0
"2020-01-06T22","PJM","PJM Interconnection, LLC","Demand",91789,"megawatthours",2020-01-06,22,2020,1,"Monday",0
"2020-01-06T21","PJM","PJM Interconnection, LLC","Demand",90255,"megawatthours",2020-01-06,21,2020,1,"Monday",0
"2020-01-06T20","PJM","PJM Interconnection, LLC","Demand",89964,"megawatthours",2020-01-06,20,2020,1,"Monday",0
"2020-01-06T19","PJM","PJM Interconnection, LLC","Demand",90861,"megawatthours",2020-01-06,19,2020,1,"Monday",0
"2020-01-06T18","PJM","PJM Interconnection, LLC","Demand",92143,"megawatthours",2020-01-06,18,2020,1,"Monday",0
"2020-01-06T17","PJM","PJM Interconnection, LLC","Demand",93747,"megawatthours",2020-01-06,17,2020,1,"Monday",0
"2020-01-06T16","PJM","PJM Interconnection, LLC","Demand",96655,"megawatthours",2020-01-06,16,2020,1,"Monday",0
"2020-01-06T15","PJM","PJM Interconnection, LLC","Demand",99374,"megawatthours",2020-01-06,15,2020,1,"Monday",0
"2020-01-06T14","PJM","PJM Interconnection, LLC","Demand",101775,"megawatthours",2020-01-06,14,2020,1,"Monday",0
"2020-01-06T13","PJM","PJM Interconnection, LLC","Demand",102020,"megawatthours",2020-01-06,13,2020,1,"Monday",0
